model,accuracy,macro_F1,train_sec
TL+SVM,0.8438735177865613,0.8202832412680068,4.338834285736084
CNN,0.8300395256916996,0.8142504522081074,1402.6727023124695
kNN,0.6482213438735178,0.6136651923023789,0.0011408329010009766
NaiveBayes,0.49209486166007904,0.49173725579985045,0.0016150474548339844
